id,Year,Demographic Condition,Gender diverse,Demographic Q_code,Question number,Question Title,ANSWER1,ANSWER2,ANSWER3,ANSWER4,ANSWER5,ANSWER6,ANSWER7,MOST_NEGATIVE_OR_LEAST_POSITIVE,AGREE,SCORE5,SCORE100,ANSWER COUNT,Department,INDICATOR_ID,INDICATOR,SUB-INDICATOR_ID,SUB-INDICATOR,SUB-INDICATOR,SUBINDICATORENG
228129,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",46,21,11,4,3,4,10,78,12,9,78,4.19,80,1392,Parks Canada,3,WORKFORCE,7,Work-life balance and workload
228130,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",78,10,3,0,1,2,5,95,4,1,95,4.77,94,921,Communications Security Establishment Canada,3,WORKFORCE,7,Work-life balance and workload
228131,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",52,14,7,5,0,15,7,84,9,7,84,4.43,86,41,Women and Gender Equality Canada,3,WORKFORCE,7,Work-life balance and workload
228132,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",68,12,9,1,1,2,7,89,10,1,89,4.62,90,147,Administrative Tribunals Support Service of Canada,3,WORKFORCE,7,Work-life balance and workload
228133,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",65,24,5,0,1,1,5,94,5,1,94,4.61,90,121,National Film Board of Canada,3,WORKFORCE,7,Work-life balance and workload
228134,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",63,14,6,2,0,3,11,90,7,2,90,4.61,90,97,Federal Economic Development Agency for Southern Ontario,3,WORKFORCE,7,Work-life balance and workload
228135,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",22,15,13,7,6,15,22,58,21,21,58,3.63,66,272,Statistical Survey Operations,3,WORKFORCE,7,Work-life balance and workload
228136,2020,Q115 = 1,Male gender,2011,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",68,15,6,1,1,1,7,92,6,2,92,4.64,91,347,Micro-organizations combined,3,WORKFORCE,7,Work-life balance and workload
228137,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",53,16,8,3,3,5,12,84,10,6,84,4.38,85,111311,Public Service,3,WORKFORCE,7,Work-life balance and workload
228138,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",51,16,10,2,2,6,13,83,12,5,83,4.37,84,18460,Canada Revenue Agency,3,WORKFORCE,7,Work-life balance and workload
228139,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",42,15,10,3,3,7,19,77,14,9,77,4.21,80,13076,Employment and Social Development Canada,3,WORKFORCE,7,Work-life balance and workload
228140,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",60,16,8,3,3,2,7,84,8,7,84,4.4,85,6404,Department of National Defence,3,WORKFORCE,7,Work-life balance and workload
228141,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",40,18,11,5,7,4,16,72,14,14,72,3.99,75,5183,Correctional Service Canada,3,WORKFORCE,7,Work-life balance and workload
228142,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",55,14,7,2,3,3,16,84,9,7,84,4.41,85,3449,Fisheries and Oceans Canada,3,WORKFORCE,7,Work-life balance and workload
228143,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",60,16,6,2,1,4,10,89,7,3,89,4.55,89,3502,Health Canada,3,WORKFORCE,7,Work-life balance and workload
228144,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",61,17,7,2,1,4,8,89,8,3,89,4.53,88,6989,Public Services and Procurement Canada,3,WORKFORCE,7,Work-life balance and workload
228145,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",64,15,5,2,1,4,8,91,6,3,91,4.6,90,1940,Statistics Canada,3,WORKFORCE,7,Work-life balance and workload
228146,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",57,18,8,2,1,4,10,87,9,4,87,4.47,87,1843,Agriculture and Agri-Food Canada,3,WORKFORCE,7,Work-life balance and workload
228147,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",56,16,7,3,1,6,11,87,9,5,87,4.48,87,1896,"Innovation, Science and Economic Development Canada",3,WORKFORCE,7,Work-life balance and workload
228148,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",64,18,5,1,1,3,8,92,6,2,92,4.61,90,2547,Environment and Climate Change Canada,3,WORKFORCE,7,Work-life balance and workload
228149,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",64,14,6,2,1,4,9,90,7,4,90,4.57,89,2077,Transport Canada,3,WORKFORCE,7,Work-life balance and workload
228150,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",47,16,10,3,3,6,15,80,12,8,80,4.28,82,3656,"Immigration, Refugees and Citizenship Canada",3,WORKFORCE,7,Work-life balance and workload
228151,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",52,20,7,3,3,4,11,85,9,6,85,4.37,84,2646,Global Affairs Canada,3,WORKFORCE,7,Work-life balance and workload
228152,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",62,14,6,2,1,4,11,89,7,4,89,4.56,89,1398,Natural Resources Canada,3,WORKFORCE,7,Work-life balance and workload
228153,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",52,15,9,5,4,3,12,79,10,10,79,4.25,81,3238,Royal Canadian Mounted Police,3,WORKFORCE,7,Work-life balance and workload
228154,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",50,16,10,3,3,4,14,80,12,7,80,4.3,83,2216,Indigenous Services Canada,3,WORKFORCE,7,Work-life balance and workload
228155,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",58,13,8,2,2,5,12,85,10,5,85,4.47,87,1770,Veterans Affairs Canada,3,WORKFORCE,7,Work-life balance and workload
228156,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",52,19,8,2,1,6,11,86,10,4,86,4.44,86,2049,Department of Justice,3,WORKFORCE,7,Work-life balance and workload
228157,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",64,18,7,1,1,3,6,90,7,2,90,4.58,90,914,Canadian Heritage,3,WORKFORCE,7,Work-life balance and workload
228158,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",61,18,6,2,1,5,8,90,6,3,90,4.55,89,384,Public Service Commission of Canada,3,WORKFORCE,7,Work-life balance and workload
228159,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",61,17,9,1,1,3,8,87,10,3,87,4.51,88,849,Crown-Indigenous Relations and Northern Affairs Canada,3,WORKFORCE,7,Work-life balance and workload
228160,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",46,19,10,4,3,7,11,79,12,9,79,4.23,81,631,Immigration and Refugee Board of Canada,3,WORKFORCE,7,Work-life balance and workload
228161,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",54,18,4,4,1,8,11,89,5,6,89,4.48,87,251,Department of Finance Canada,3,WORKFORCE,7,Work-life balance and workload
228162,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",52,15,13,4,2,3,12,78,15,7,78,4.29,82,179,Canadian Grain Commission,3,WORKFORCE,7,Work-life balance and workload
228163,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",63,15,6,2,1,3,10,90,7,3,90,4.58,89,1140,Treasury Board of Canada Secretariat,3,WORKFORCE,7,Work-life balance and workload
228164,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",55,17,6,3,1,5,14,88,7,5,88,4.48,87,415,Privy Council Office,3,WORKFORCE,7,Work-life balance and workload
228165,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",44,24,9,2,6,5,8,80,11,10,80,4.14,79,305,Courts Administration Service,3,WORKFORCE,7,Work-life balance and workload
228166,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",61,20,5,1,1,3,10,93,5,2,93,4.61,90,205,Canadian Radio-television and TeleCommunications Commission,3,WORKFORCE,7,Work-life balance and workload
228167,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",74,10,4,2,1,1,9,93,4,3,93,4.72,93,315,Atlantic Canada Opportunities Agency,3,WORKFORCE,7,Work-life balance and workload
228168,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",65,18,5,2,0,5,4,92,6,3,92,4.61,90,250,Canadian Space Agency,3,WORKFORCE,7,Work-life balance and workload
228169,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",58,19,8,1,1,6,7,89,9,2,89,4.53,88,171,Canada Economic Development for Quebec Regions,3,WORKFORCE,7,Work-life balance and workload
228170,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",59,17,8,1,1,3,11,88,9,3,88,4.52,88,265,Canadian Institutes of Health Research,3,WORKFORCE,7,Work-life balance and workload
228171,2020,Q115 = 2,Female gender,2012,Q29,"Question 29. During the COVID-19 pandemic, my immediate supervisor supported the use of flexible work hours.",59,13,8,2,1,6,11,87,9,4,87,4.52,88,1588,Shared Services Canada,3,WORKFORCE,7,Work-life balance and workload
